seq,Credit_Default,BE_SCORE_ON_OD,BNI_SCORE_ON_OD,BUSAGE,BUSSTRUC,MAXLINEUTIL,AVGLINEUTIL12,MAXLINEBALRT,MAXTIMESLBAL12,DAYSDELQ,TOTDAYSDELQ12,TOTACBAL,MAXDELQ,TOTDELQ12,DEPOSITRT,AVGDEPRT12,ALL_OPEN_TRADE_UT,BR_OPEN_TRADE_UT,BR_TRADE_PAST_DUE
9,1,658,397,60,1,1.013,1.002366,1.0206,11,0,0,30619.1,5,11,0,0.0058,65,70,0
2,1,722,582,67,1,0.9408,0.896175,0.9434,1,0,0,47043.15,0,3,0.0531,0.1041,18,8,0
2,1,492,784,375,1,,0.953237,,2,0,0,46668.66,0,0,0.0761,0.0966,80,88,4
7,1,682,848,179,1,0.9926,0.995375,0.9978,7,0,0,59556.42,0,6,0.0167,0.0072,57,62,0
6,1,553,715,361,2,1.0248,0.946325,1.0329,8,0,0,30988.97,4,11,0,0.0058,84,106,1
10,1,732,972,335,1,0.1333,0.149409,0.1333,0,0,0,5335.68,1,3,0,0.6434,1,1,0
9,1,722,955,24,1,,,,,,0,,,,,,7,7,0
9,1,558,54,114,2,0.9875,0.970633,0.9965,5,0,0,19751.44,0,0,0.1551,0.2184,94,96,0
9,1,686,838,24,4,0.483,0.358983,0.483,0,0,0,19323.78,0,2,0.3562,0.6205,77,68,0
4,1,617,136,71,1,0.9618,0.751225,0.9778,0,0,0,14427.64,0,2,0.0259,0.1474,30,21,0
3,1,801,971,152,1,0,0,0,0,0,0,,,,,,20,8,0
3,1,754,965,37,4,0,0.52109,0.677,3,0,0,102.3,0,0,220.7797,5.2649,84,88,0
8,1,674,882,37,1,0.9572,0.744025,0.9572,0,0,0,14357.76,2,6,0,0.2015,38,52,0
7,1,657,946,99,4,0.853,0.606375,0.853,0,0,0,12795.49,1,1,0,0.5515,90,90,0
7,1,785,964,64,2,0.7091,0.418108,0.7358,0,0,0,53184.44,0,0,0.1502,1.0053,16,16,0
4,1,703,960,277,3,0.6272,0.878033,0.6272,6,0,0,37633.01,0,0,0.0797,0.2831,79,79,1
6,1,703,956,28,2,0.8575,0.955541,0.8575,6,0,0,25726.62,0,3,0.0159,0.2639,67,63,0
4,1,734,959,23,3,0.0003,0.0003,0.0003,0,0,0,16,0,0,0,0,32,25,0
6,1,555,408,24,2,0.9654,0.687558,1.0079,2,0,0,14633.71,0,2,0.0436,0.4409,86,86,3
3,1,0,845,16,2,0.935,0.841483,1.0032,8,0,0,14026.48,0,0,0.2497,2.8455,,,0
4,1,661,929,59,3,,,,,95,5,,,,,,77,,1
6,1,644,932,185,1,0.5125,0.600375,0.5125,0,0,0,51256.91,0,4,0.039,0.1432,82,65,0
7,1,731,962,65,1,0,0,0.1678,0,0,0,8393.48,0,0,0.3562,0.3562,52,17,0
2,1,573,610,176,1,1.0018,0.983841,0.9944,3,0,0,40072.98,3,6,0,0.0487,64,96,1
2,1,724,956,12,3,,0.382433,,1,0,0,1594.73,0,0,4.7383,3.9775,73,0,0
9,1,631,68,14,1,0,1.03115,0,4,0,0,2188.84,0,0,55.5409,25.8678,86,102,0
10,1,0,961,82,1,,0,,0,0,0,,,,,,,,
3,1,617,369,38,4,0,0.755577,0.7546,3,0,0,4046.43,0,2,4.1411,0.8151,77,63,1
3,1,661,859,66,1,0.7994,0.809491,0.9701,0,0,0,18705.51,0,2,0.3707,1.1886,33,33,0
9,1,674,922,55,4,0.9428,0.5086,0.988,0,0,0,22722.83,0,2,0.088,0.2519,76,89,0
4,1,538,272,129,2,0.9559,1.029608,1.102,12,0,0,95591,0,0,1.1294,1.0128,78,99,1
6,1,700,909,133,3,,,,,0,0,,,,,,17,17,0
8,1,646,964,62,4,1.0298,0.712163,1.1843,6,124,4,4119.29,5,7,0,0.9292,0,,
6,1,792,971,67,1,0.8475,0.841833,0.8475,0,0,0,50855.86,2,2,0,0,0,,0
9,1,605,865,36,2,0.333,0.1711,0.333,0,0,0,832.59,0,0,0.3603,0.9455,31,0,0
6,1,790,970,161,2,0.2475,0.125211,0.2485,0,0,0,7425.02,1,4,0.0114,1.2057,6,6,0
9,1,500,615,65,1,1.014,0.942325,1.014,7,0,0,17454.02,2,5,0.0171,0.2673,123,123,2
4,1,662,744,44,4,0.9966,0.848641,0.9997,1,0,0,14949.05,0,0,0.0465,0.52,50,76,0
7,1,787,958,82,1,0.0228,0.0228,0.0228,0,0,0,113.63,0,0,0,0,57,3,0
2,1,621,843,57,2,0.9717,0.951866,0.9806,4,0,0,97670,0,1,0.1308,0.0636,89,94,0
6,1,559,661,,,0.9912,0.999391,1.0078,10,0,0,59846.49,0,4,0.0167,0.015,95,94,0
4,1,630,767,12,4,0.9129,0.5359,0.9129,0,1,0,5477.94,1,1,0,0.7889,69,70,0
5,1,691,863,13,1,0,1.075716,0.7717,8,0,0,1348.36,0,0,29.532,11.8548,76,78,0
6,1,638,891,18,1,0.9585,0.930283,0.9735,3,0,0,46969.98,0,2,0.0238,0.136,7,7,0
9,1,571,339,140,1,0.7272,0.915708,1.0083,6,0,0,10908.01,0,1,1.1435,0.667,62,68,0
9,1,791,968,104,1,0,0,0,0,0,0,,,,,,7,0,0
10,1,665,444,15,1,,,,,0,0,,,,,,72,101,0
9,1,602,381,795,2,0.9972,0.867908,1.0055,4,0,0,30135.26,2,8,0.0082,0.0068,74,79,1
6,1,760,664,50,4,0.9981,0.923616,0.9999,0,0,0,59889.67,0,0,0.0187,0.0147,64,81,0
8,1,674,119,48,1,1.0063,0.962066,1.0136,8,0,0,30191.63,3,9,0.0099,0.0379,56,74,0
5,1,655,194,16,2,1.0164,0.884033,1.0249,3,0,0,20498.77,1,1,0,0.1616,95,98,0
